Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11652059,YinanJuliaZhu,"2024-02-18 00:22:36",1.00000,3,yinanjuliazhu
2,11652100,CrhnbP,"2024-02-18 00:58:18",1.00000,3,crhnbp
3,11652664,"Sakib Hasan #2","2024-02-18 07:19:27",1.00000,1,sakibhrana
4,11652819,"Jiao Huang","2024-02-18 08:36:18",1.00000,3,jiaohuang
5,11654369,"Jaspreet Kaur Patpatia","2024-02-18 17:49:02",1.00000,3,jaspreetkaurpatpatia
6,4815347,"Aditya N","2024-02-18 20:44:17",1.00000,3,arsingh1996
7,574436,Keyee,"2024-02-18 21:32:47",1.00000,3,keymay
8,11654964,iamtx0813,"2024-02-18 21:40:02",1.00000,3,iamtx0813
9,11655121,"tianen gao","2024-02-18 23:21:42",1.00000,4,tianengao
10,11655132,Bweng77,"2024-02-18 23:22:10",1.00000,4,bweng77
11,11655533,"sandy #6","2024-02-19 02:34:09",1.00000,4,sandy5837
12,11655689,"Boluwatife Olaniyan","2024-02-19 03:50:32",1.00000,4,boluwatifeolaniyan
13,11655725,XLXLXL,"2024-02-19 04:06:13",1.00000,2,xlxlxl
14,11655795,Ahmed.Elsabagh767,"2024-02-19 04:40:57",1.00000,3,ahmedelsabagh767
15,11656772,"ankith sharma navhal","2024-02-19 09:46:42",1.00000,4,ankithsharmanavhal
16,11635128,"[Deleted] eff67670-281a-4a00-89b3-25d546c721c6","2024-02-19 12:51:28",1.00000,5,del=308e9320574ac6ac
17,11657808,"Sreekar Karakala","2024-02-19 14:31:50",1.00000,3,sreekarkarakala
18,11660027,"Daphne Zhou","2024-02-20 04:27:06",1.00000,3,daphnezhou
19,11660339,"Jitam Bharadwaj","2024-02-20 06:17:57",1.00000,1,dtiyhodth
20,11664930,"kaiyu ma","2024-02-21 09:26:49",1.00000,3,kaiyuma
21,11663983,coffee16858,"2024-02-22 03:03:32",1.00000,4,coffee16858
22,11669608,"Nirjhor Anjum","2024-02-22 11:05:45",1.00000,3,nirjhoranjum
23,11435557,"Efecan Guler","2024-02-22 18:10:46",1.00000,1,efecanxrd
24,11435193,"Daigo Matsuzuka","2024-03-12 13:18:07",1.00000,15,daigo78
25,11660249,"bart curry","2024-02-24 16:55:14",1.00000,3,bartcurry
26,7502926,AI纪元,"2024-02-26 00:39:47",1.00000,2,boristown
27,8616131,H210164,"2024-02-25 11:20:39",1.00000,1,h210164
28,11676913,"Umair Zia #2","2024-02-26 15:14:01",1.00000,2,umairziact
29,6817714,"Prosper Alikizang","2024-02-26 18:16:22",1.00000,1,prosperalikizang
30,11688612,Fuldismdred,"2024-02-26 20:26:43",1.00000,1,fuldismdred
31,10094128,"Nikita Matuskov","2024-02-27 18:57:55",1.00000,5,madvas
32,11692871,"Yichen Ma117","2024-02-29 16:27:24",1.00000,20,yichenma117
33,11531103,Linwyc,"2024-02-28 09:06:27",1.00000,2,linwyc
34,11697341,mrcaesark,"2024-03-01 08:56:19",1.00000,3,mrcaesark
35,11695710,Sorochkin_Daniil,"2024-02-28 16:16:40",1.00000,3,sorochkindaniil
36,11699324,"Alla Pliskovskaia","2024-02-28 16:15:12",1.00000,2,allapliskovskaia
37,11296503,"mohamed rebbouh","2024-02-28 18:50:46",1.00000,10,mohamedrebbouh
38,11535069,akash8304,"2024-02-29 11:08:52",1.00000,1,akash8304
39,11436638,"Suman Kunwar","2024-02-29 14:25:53",1.00000,2,sumn2u
40,11690568,huoyeqianxun,"2024-03-08 04:01:47",1.00000,35,huoyeqianxun
41,7603481,ArtemShink,"2024-03-01 07:35:48",1.00000,1,artemshink
42,11712841,"JST Ai CodeEntropy","2024-03-02 03:14:56",1.00000,1,jstaicodeentropy
43,11674464,Havel18653414084,"2024-03-02 05:42:25",1.00000,2,havel18653414084
44,11713799,"Beketov Ivan","2024-03-02 08:18:39",1.00000,2,beketovivan
45,11714257,"Egor Gologuzov","2024-03-13 05:20:22",1.00000,5,egorgologuzov
46,11719830,MrRooots,"2024-03-03 16:57:46",1.00000,2,mrrooots
47,11719903,"Андрей Речкалов","2024-03-03 16:57:51",1.00000,3,bizonator
48,11689062,Lentyaeena,"2024-03-03 16:59:27",1.00000,2,lentyaeena
49,11719849,Yucheng1122,"2024-03-07 12:00:45",1.00000,11,yucheng1122
50,11723922,Aere777,"2024-03-04 11:35:08",1.00000,2,aere777
51,11722420,"Henry King #2","2024-03-14 06:33:46",1.00000,28,henrykinguk
52,11730054,"TALBI Othmane","2024-03-05 11:09:49",1.00000,1,talbiothmane
53,11731804,"Denis Shamshurin","2024-03-05 17:00:26",1.00000,2,nottherobot
54,11731836,"Petrova Arina","2024-03-05 17:34:18",1.00000,2,petrovaarina
55,11731596,nicksumin,"2024-03-05 17:16:08",1.00000,4,nicksumin
56,11734466,"Muhammad fajar agus saputra","2024-03-06 04:51:15",1.00000,1,muhfajarags
57,11734986,"Alexander Krasnopeev","2024-03-06 06:52:59",1.00000,3,alexanderkrasnopeev
58,11735478,"Ekaterina Kucherova","2024-03-06 08:31:40",1.00000,4,ekaterinakucherova
59,11738141,"Юрий Гусев","2024-03-06 18:50:10",1.00000,4,mateomiller
60,11738392,"Matthew Noskov","2024-03-06 18:45:46",1.00000,2,matthewnoskov
61,11740661,LAB_P7_6_SIT,"2024-03-07 10:19:52",1.00000,6,"clementwu,lucastan69,stevenlaukwokkit,tehyewmingdarren,yaptengjun"
62,11851093,INF2008_P8_5,"2024-03-29 10:21:13",1.00000,9,"chaiyiheng,farhanhan1,rieeel,seetohzijie,zhenyukwok"
63,11740670,INF2008_P3_G10,"2024-03-07 17:13:45",1.00000,3,"chocochipxx,khairinnor,lestertanyiteck,mohamedsharaafat,tristanraj"
64,11746415,"Nikhil Bartake","2024-03-08 10:33:20",1.00000,4,"funkaijun,mdakid,nikhilbartake,thengjing,tyajustin"
65,11746650,"LAB-P2 - 3","2024-03-08 05:49:15",1.00000,5,"andersentan,eddietanweixiang,erickohmh,leekwryan,nixsss"
66,11742290,"LAB P7-7","2024-03-08 05:58:21",1.00000,17,"aloysus,carmenttham,jiajinsim,kennethwyq,natalenekhooxiaozhen"
67,11748692,ICT2215-P7-GROUP8,"2024-03-22 09:07:19",1.00000,12,"eeddwardd,guilinggao,solidsicklex,teekiatchua,ycching"
68,11748723,INF2008-P8-GROUP4,"2024-03-21 08:31:24",1.00000,5,"aungthurazaw,lemonmeringueee,rachelpoh,tkowit,zongyuanloh"
69,11752504,"UDC student","2024-03-09 10:31:15",1.00000,10,udcstudent
70,11612431,"Barış KAHRAMAN","2024-03-09 14:36:08",1.00000,13,peacehero
71,10075802,"Andrew Bakradze","2024-03-10 08:18:32",1.00000,1,andrewbakradze
72,11756887,"Seung Kwan Bang","2024-04-15 23:48:11",1.00000,21,seungkwanbang
